model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
USC-SIkJalpha,inc case,1,SE,3482,2342,1028,112,1.87,2.38,0.75,1,-0.25,1,4,Sweden
epiforecasts-EpiNow2,inc case,1,SE,5438,4009,308,1120,2.92,2.96,0.75,1,0.2,1,4,Sweden
EuroCOVIDhub-baseline,inc death,1,SE,22,13,1,7,1,1,0.75,1,0.28,1,4,Sweden
EuroCOVIDhub-ensemble,inc death,1,SE,18,14,0,4,0.83,0.71,0.75,1,0.25,1,4,Sweden
IEM_Health-CovidProject,inc death,1,SE,26,18,8,0,1.17,1.33,1,1,-0.4,1,4,Sweden
ILM-EKF,inc death,1,SE,28,22,0,6,1.26,1.03,0.75,1,0.3,1,4,Sweden
LANL-GrowthRate,inc death,1,SE,36,6,0,31,1.66,1.58,0.25,0.75,0.69,1,4,Sweden
RobertWalraven-ESG,inc death,1,SE,15,13,2,0,0.7,0.54,1,1,-0.15,1,4,Sweden
USC-SIkJalpha,inc death,1,SE,24,20,1,3,1.09,0.59,0.75,1,0.22,1,4,Sweden
epiforecasts-EpiNow2,inc death,1,SE,46,16,0,29,2.08,2.36,0,1,0.82,1,4,Sweden
EuroCOVIDhub-baseline,inc case,1,SI,563,74,388,100,1,1,0,1,-0.45,1,4,Slovenia
EuroCOVIDhub-ensemble,inc case,1,SI,454,320,133,1,0.81,0.77,0.75,1,-0.3,1,4,Slovenia
IEM_Health-CovidProject,inc case,1,SI,665,488,177,0,1.18,1.31,1,1,-0.4,1,4,Slovenia
ILM-EKF,inc case,1,SI,487,274,213,0,0.86,0.99,0.5,1,-0.48,1,4,Slovenia
LANL-GrowthRate,inc case,1,SI,766,430,336,0,1.36,1.69,0.75,1,-0.5,1,4,Slovenia
USC-SIkJalpha,inc case,1,SI,509,341,138,31,0.91,0.83,0.5,1,-0.35,1,4,Slovenia
epiforecasts-EpiNow2,inc case,1,SI,296,219,57,20,0.53,0.55,1,1,-0.2,1,4,Slovenia
EuroCOVIDhub-baseline,inc death,1,SI,6,2,2,1,1,1,0.25,1,-0.05,1,4,Slovenia
EuroCOVIDhub-ensemble,inc death,1,SI,5,3,1,0,0.82,0.85,0.75,1,-0.2,1,4,Slovenia
IEM_Health-CovidProject,inc death,1,SI,7,3,4,0,1.29,1.33,0.5,1,-0.45,1,4,Slovenia
ILM-EKF,inc death,1,SI,9,8,0,0,1.53,0.67,1,1,-0.08,1,4,Slovenia
LANL-GrowthRate,inc death,1,SI,4,2,2,0,0.73,0.97,0.5,1,-0.42,1,4,Slovenia
RobertWalraven-ESG,inc death,1,SI,7,2,5,0,1.27,1.36,0.5,1,-0.56,1,4,Slovenia
USC-SIkJalpha,inc death,1,SI,5,2,1,1,0.8,1.12,0.5,1,-0.08,1,4,Slovenia
epiforecasts-EpiNow2,inc death,1,SI,7,3,1,3,1.18,1.42,0.25,1,0.3,1,4,Slovenia
EuroCOVIDhub-baseline,inc case,1,SK,1375,128,0,1246,1,1,0,1,0.88,1,4,Slovakia
EuroCOVIDhub-ensemble,inc case,1,SK,944,691,0,253,0.69,0.66,0.75,1,0.4,1,4,Slovakia
IEM_Health-CovidProject,inc case,1,SK,1536,1320,0,216,1.12,0.81,1,1,0.25,1,4,Slovakia
ILM-EKF,inc case,1,SK,1075,576,0,499,0.78,0.89,0.25,1,0.52,1,4,Slovakia
LANL-GrowthRate,inc case,1,SK,1128,958,168,1,0.82,0.57,1,1,-0.22,1,4,Slovakia
USC-SIkJalpha,inc case,1,SK,2043,740,0,1303,1.49,1.36,0,0.5,0.82,1,4,Slovakia
epiforecasts-EpiExpert,inc case,1,SK,1053,250,105,699,0.77,0.83,0,0.25,0.42,1,4,Slovakia
epiforecasts-EpiNow2,inc case,1,SK,797,444,7,347,0.58,0.68,0.5,1,0.38,1,4,Slovakia
EuroCOVIDhub-baseline,inc death,1,SK,69,3,18,48,1,1,0,0.75,0.02,1,4,Slovakia
EuroCOVIDhub-ensemble,inc death,1,SK,50,21,11,18,0.73,0.98,0.25,1,0.1,1,4,Slovakia
IEM_Health-CovidProject,inc death,1,SK,55,24,12,19,0.8,0.99,0.25,1,0.1,1,4,Slovakia
ILM-EKF,inc death,1,SK,64,47,7,9,0.93,0.91,1,1,0.05,1,4,Slovakia
LANL-GrowthRate,inc death,1,SK,59,8,39,13,0.87,0.85,0.25,0.75,-0.26,1,4,Slovakia
RobertWalraven-ESG,inc death,1,SK,75,10,28,36,1.1,1.2,0,0.5,0.01,1,4,Slovakia
USC-SIkJalpha,inc death,1,SK,50,27,3,20,0.73,1.02,0.5,1,0.25,1,4,Slovakia
epiforecasts-EpiExpert,inc death,1,SK,79,16,37,26,1.15,1.26,0,0.75,0.02,1,4,Slovakia
epiforecasts-EpiNow2,inc death,1,SK,57,12,21,23,0.83,0.88,0.25,0.5,0.18,1,4,Slovakia
RobertWalraven-ESG,inc case,1,AT,NA,NA,NA,NA,NA,0.46,0.75,1,-0.17,1,4,Austria
RobertWalraven-ESG,inc case,1,BE,NA,NA,NA,NA,NA,0.66,0.25,0.75,-0.34,1,4,Belgium
RobertWalraven-ESG,inc case,1,BG,NA,NA,NA,NA,NA,1.27,0,0.5,-0.03,1,4,Bulgaria
RobertWalraven-ESG,inc case,1,CH,NA,NA,NA,NA,NA,2.75,0,0.75,-0.89,1,4,Switzerland
RobertWalraven-ESG,inc case,1,CY,NA,NA,NA,NA,NA,1.52,0,0.75,-0.01,1,4,Cyprus
RobertWalraven-ESG,inc case,1,CZ,NA,NA,NA,NA,NA,1.19,0.25,1,0.73,1,4,Czechia
RobertWalraven-ESG,inc case,1,DE,NA,NA,NA,NA,NA,1.06,0,0.75,-0.45,1,4,Germany
UVA-Ensemble,inc case,1,DE,NA,NA,NA,NA,NA,1.6,0,0.25,-0.55,1,4,Germany
RobertWalraven-ESG,inc case,1,DK,NA,NA,NA,NA,NA,0.91,0.5,0.5,-0.25,1,4,Denmark
RobertWalraven-ESG,inc case,1,EE,NA,NA,NA,NA,NA,1.41,0,0.5,0.9,1,4,Estonia
RobertWalraven-ESG,inc case,1,FI,NA,NA,NA,NA,NA,1.19,0.25,0.75,0.85,1,4,Finland
RobertWalraven-ESG,inc case,1,FR,NA,NA,NA,NA,NA,1.33,0.25,0.5,-0.36,1,4,France
RobertWalraven-ESG,inc case,1,GB,NA,NA,NA,NA,NA,1.64,0.5,1,-0.4,1,4,United Kingdom
UVA-Ensemble,inc case,1,GB,NA,NA,NA,NA,NA,1,0.5,1,0.29,1,4,United Kingdom
RobertWalraven-ESG,inc case,1,GR,NA,NA,NA,NA,NA,1.22,0.25,0.75,-0.12,1,4,Greece
RobertWalraven-ESG,inc case,1,HR,NA,NA,NA,NA,NA,0.84,0.75,1,-0.61,1,4,Croatia
RobertWalraven-ESG,inc case,1,HU,NA,NA,NA,NA,NA,0.67,0.25,0.75,0.09,1,4,Hungary
RobertWalraven-ESG,inc case,1,IE,NA,NA,NA,NA,NA,1.37,0.75,1,-0.58,1,4,Ireland
RobertWalraven-ESG,inc case,1,IS,NA,NA,NA,NA,NA,1.23,0.25,0.75,-0.56,1,4,Iceland
RobertWalraven-ESG,inc case,1,IT,NA,NA,NA,NA,NA,1.39,0.5,0.75,0.7,1,4,Italy
RobertWalraven-ESG,inc case,1,LI,NA,NA,NA,NA,NA,0.64,0.75,1,-0.32,1,4,Liechtenstein
RobertWalraven-ESG,inc case,1,LT,NA,NA,NA,NA,NA,1.02,0.75,1,-0.36,1,4,Lithuania
RobertWalraven-ESG,inc case,1,LU,NA,NA,NA,NA,NA,3.1,0.75,1,-0.61,1,4,Luxembourg
RobertWalraven-ESG,inc case,1,LV,NA,NA,NA,NA,NA,1.26,0.5,0.75,0.49,1,4,Latvia
RobertWalraven-ESG,inc case,1,MT,NA,NA,NA,NA,NA,1.24,0.25,0.5,0.86,1,4,Malta
RobertWalraven-ESG,inc case,1,NL,NA,NA,NA,NA,NA,0.78,0.25,1,-0.29,1,4,Netherlands
RobertWalraven-ESG,inc case,1,NO,NA,NA,NA,NA,NA,1.06,0,1,0,1,4,Norway
RobertWalraven-ESG,inc case,1,Overall,NA,NA,NA,NA,NA,1.12,0.34,0.83,-0.11,32,127,Overall
UVA-Ensemble,inc case,1,Overall,NA,NA,NA,NA,NA,1.28,0.24,0.58,-0.27,32,99,Overall
RobertWalraven-ESG,inc case,1,PL,NA,NA,NA,NA,NA,0.63,0,1,-0.44,1,4,Poland
UVA-Ensemble,inc case,1,PL,NA,NA,NA,NA,NA,0.9,0.25,1,-0.8,1,4,Poland
RobertWalraven-ESG,inc case,1,PT,NA,NA,NA,NA,NA,1.83,0.75,1,-0.61,1,4,Portugal
RobertWalraven-ESG,inc case,1,RO,NA,NA,NA,NA,NA,0.85,0.25,0.75,-0.03,1,4,Romania
RobertWalraven-ESG,inc case,1,SE,NA,NA,NA,NA,NA,1.79,0.75,1,-0.58,1,4,Sweden
RobertWalraven-ESG,inc case,1,SI,NA,NA,NA,NA,NA,0.99,0.25,1,-0.51,1,4,Slovenia
RobertWalraven-ESG,inc case,1,SK,NA,NA,NA,NA,NA,0.99,0,1,0.88,1,4,Slovakia
